title,author,genre,pages,rating,ratings_count,reviews_count,year,publisher,language,description,price
The Hunger Games,Suzanne Collins,"Young Adult, Dystopia, Fiction",374.0,4.35,10077406,268647,2008.0,,,"Winning means fame and fortune. Losing means certain death. The Hunger Games have begun. . . .In the ruins of a place once known as North America lies the nation of Panem, a shining Capitol surrounded",
Catching Jordan,Miranda Kenneally,"Young Adult, Romance, Contemporary",288.0,3.83,64721,3872,2011.0,,,"ONE OF THE BOYSWhat girl doesn't want to be surrounded by gorgeous jocks day in and day out? Jordan Woods isn't just surrounded by hot guys, though-she leads them as the captain and quarterback of her",
The Boy Who Sneaks in My Bedroom Window,Kirsty Moseley,"Romance, Young Adult, Contemporary",256.0,3.84,78310,5995,2012.0,,,"Liam James, boy next door and total douchebag, is my brother’s best friend. I can’t stand him. Well, that’s not strictly true, at night I see a side of him that no one else does. Every night Liam beco",
The Vincent Boys,Abbi Glines,"Romance, Young Adult, New Adult",260.0,3.94,75284,3999,2011.0,,,"Ashton is getting tired of being good, of impressing her parents and playing ideal girlfriend to Sawyer Vincent. Sawyer is perfect, a regular Prince Charming, but when he leaves town for the summer, i",
Catching Fire,Suzanne Collins,"Young Adult, Dystopia, Fiction",391.0,4.36,4236948,157962,2009.0,,,"Sparks are igniting.Flames are spreading.And the Capitol wants revenge. Against all odds, Katniss Everdeen has won the Hunger Games. She and fellow District 12 tribute Peeta Mellark are miraculously s",
Mockingjay,Suzanne Collins,"Young Adult, Dystopia, Fiction",390.0,4.12,3791002,161673,2010.0,,,"My name is Katniss Everdeen.Why am I not dead?I should be dead.Katniss Everdeen, girl on fire, has survived, even though her home has been destroyed. Gale has escaped. Katniss's family is safe. Peeta ",
Perfect Chemistry,Simone Elkeles,"Romance, Young Adult, Contemporary",368.0,4.04,263856,11888,2008.0,,,"A fresh, urban twist on the classic tale of star-crossed lovers.When Brittany Ellis walks into chemistry class on the first day of senior year, she has no clue that her carefully created ""perfect"" lif",
That Boy,Jillian Dodd,"Romance, Young Adult, Contemporary",287.0,3.94,48195,3293,2011.0,,,"Fall in love with the boy next door in this sweet contemporary romance by USA Today Best Selling Author, Jillian Dodd.You know, being friends with two cute boys does have its benefits.There's Danny. D",
Graceling,Kristin Cashore,"Fantasy, Young Adult, Romance",471.0,4.06,482324,28741,2008.0,,,"Katsa has been able to kill a man with her bare hands since she was eight—she’s a Graceling, one of the rare people in her land born with an extreme skill. As niece of the king, she should be able to ",
Lola and the Boy Next Door,Stephanie Perkins,"Young Adult, Romance, Contemporary",338.0,3.89,167038,15625,2011.0,,,"Alternate Cove edition for ISBN 9780525423287Lola Nolan is a budding costume designer, and for her, the more outrageous, sparkly, and fun the outfit, the better. And everything is pretty perfect in he",
The Sweet Gum Tree,Katherine Allred,"Romance, Contemporary, Contemporary Romance",301.0,4.25,31528,3544,2005.0,,,"Sweet tea, corn bread, and soup beans—everyday fare for eight-year-old Alix French, the precocious darling of a respected southern family. But nothing was ordinary about the day she met ten-year-old N",
Hopeless,Colleen Hoover,"Romance, Colleen Hoover, New Adult",410.0,4.22,692550,45844,2012.0,,,Sometimes discovering the truth can leave you more hopeless than believing the lies…That’s what seventeen-year-old Sky realizes after she meets Dean Holder. A guy with a reputation that rivals her own,
The Secret of Ella and Micha,Jessica Sorensen,"Romance, New Adult, Contemporary",313.0,3.99,71513,3404,2012.0,,,Ella and Micha have been best friends since they were kids. But one tragic night shatters their friendship and their lives forever.Ella used to be a rule-breaker with fiery attitude who wore her heart,
Playing for Keeps,R.L. Mathewson,"Romance, Contemporary, Contemporary Romance",330.0,4.02,116150,6179,2011.0,,,"Done with being the world's biggest pushover, Haley decides that things are going to change starting with the aggravating neighbor who has too much charm and not enough restraint. What she didn't expe",
It's Not Summer Without You,Jenny Han,"Romance, Young Adult, Contemporary",277.0,3.74,742484,50729,2010.0,,,"No ano passado, todos os sonhos de Belly se tornaram realidade e o pensamento de um verão sem a praia de Cousins ​​era inconcebível. Mas, como a ascensão e queda da maré do oceano, as coisas podem mud",
The Body Finder,Kimberly Derting,"Young Adult, Paranormal, Mystery",327.0,3.94,54019,4091,2010.0,,,"Violet Ambrose is grappling with two major issues: Jay Heaton and her morbid secret ability. While the sixteen-year-old is confused by her new feelings for her best friend since childhood, she is more",
Her Best Friend's Brother,T.J. Dell,"Romance, Young Adult, Contemporary",256.0,3.55,10651,478,2011.0,,,Libby has been in love with Tony Marchetti since she was seven years old. The problem? Tony is her best friend's older brother. Lately Tony has started looking at her in a new way and he emails her al,
Always You,Kirsty Moseley,"Romance, Young Adult, Friends To Lovers",329.0,3.89,21726,1321,2012.0,,,"Clay Preston is the most desirable guy in school, and boy does he know it! Movie star looks paired with a quarterback’s body, he’s every girl’s dream guy–but not mine. To me, he’s simply my best frien",
Emma,Jane Austen,"Classics, Fiction, Romance",474.0,4.05,1001517,44501,1815.0,,,"The newest edition is here. Another alternate cover can be found here.Emma Woodhouse is one of Austen's most captivating and vivid characters. Beautiful, spoilt, vain and irrepressibly witty, Emma org",
The Host,Stephenie Meyer,"Fantasy, Young Adult, Science Fiction",619.0,3.86,1053614,45559,2008.0,,,"Melanie Stryder refuses to fade away. The earth has been invaded by a species that take over the minds of human hosts while leaving their bodies intact. Wanderer, the invading ""soul"" who has been give",
Wallbanger,Alice Clayton,"Romance, Contemporary, Contemporary Romance",384.0,3.97,212276,15773,2012.0,,,"The first night after Caroline moves into her fantastic new San Francisco apartment, she realizes she's gaining an intimate knowledge of her new neighbor's nocturnal adventures. Thanks to paper-thin w",
Along for the Ride,Sarah Dessen,"Young Adult, Romance, Contemporary",383.0,4.03,212644,9128,2009.0,,,It’s been so long since Auden slept at night. Ever since her parents’ divorce—or since the fighting started. Now she has the chance to spend a carefree summer with her dad and his new family in the ch,
The Marriage Bargain,Jennifer Probst,"Romance, Contemporary Romance, Contemporary",160.0,3.79,112178,4733,2010.0,,,"A marriage in name only…To save her family home, impulsive bookstore owner, Alexa Maria McKenzie, casts a love spell. But she never planned on conjuring up her best friend’s older brother—the powerful",
Heist Society,Ally Carter,"Young Adult, Mystery, Contemporary",287.0,3.91,95412,5687,2010.0,,,"When Katarina Bishop was three, her parents took her on a trip to the Louvre…to case it. For her seventh birthday, Katarina and her Uncle Eddie traveled to Austria…to steal the crown jewels. When Kat ",
